family,metric,metric_label,athlete,mean,median,sd,iqr,min,max,ci_low,ci_high,n_valid_matches,n_observations,low_n_matches,main_eligible
style,smash_share,杀球倾向,石宇奇,0.110492142465059,0.0997967479674797,0.0326638428278797,0.0413263353424999,0.0643776824034335,0.185567010309278,0.0983115566073651,0.123779694905033,24,10081,0,1
style,smash_share,杀球倾向,对手,0.113222145161498,0.117876614452019,0.0338464806544612,0.0471338233141528,0.066147859922179,0.211886304909561,0.100778117579901,0.126738374965792,24,9031,0,1
style,drop_share,吊球倾向,石宇奇,0.0449835205242473,0.0412769320087731,0.021127105193719,0.0297526810525906,0.0125,0.0949367088607595,0.0369668850549184,0.0535293906302768,24,10081,0,1
style,drop_share,吊球倾向,对手,0.0410853581106315,0.0373928746021769,0.016475303670281,0.0237930862730943,0.012396694214876,0.0757575757575758,0.0347283091521371,0.0474506033946168,24,9031,0,1
style,net_share,网前倾向,石宇奇,0.443502368591356,0.448055250336619,0.0743208589513523,0.116131314783134,0.298969072164948,0.56271186440678,0.413685761730591,0.471890921923346,24,10081,0,1
style,net_share,网前倾向,对手,0.450014208944452,0.450914676721128,0.0600563245194954,0.0712162004345473,0.335917312661499,0.56838905775076,0.426631114793085,0.473736881900083,24,9031,0,1
style,drive_share,抽挡倾向,石宇奇,0.168236983224876,0.169267210732944,0.036279033890688,0.0530657098296588,0.09375,0.221745350500715,0.153856011408316,0.181990043445087,24,10081,0,1
style,drive_share,抽挡倾向,对手,0.160173247607285,0.159665098747982,0.0459486529212222,0.0718109082947557,0.0820668693009119,0.235173824130879,0.142200769688142,0.178235680467775,24,9031,0,1
style,backcourt_tendency,后场击球倾向,石宇奇,0.279658013287333,0.298212226066897,0.149148014847116,0.242249077799419,0.0925925925925926,0.661167512690355,0.223430729228108,0.340126003613013,24,13630,0,1
style,backcourt_tendency,后场击球倾向,对手,0.294101199204708,0.135686641114331,0.231647479769949,0.377301387654592,0.0634920634920635,0.699646643109541,0.205741907098009,0.385823372132389,24,12012,0,1
style,event_rate_proxy,事件频率代理,石宇奇,0.625626165319635,0.660009673360664,0.160706285740658,0.309509472807737,0.318877551020411,0.830797639350694,0.562157397199242,0.688675630512683,24,1923,0,1
style,event_rate_proxy,事件频率代理,对手,0.586213399125284,0.545451117226646,0.133953729153439,0.211450575259669,0.391911150425083,0.808982782727103,0.534894122556484,0.639751200854782,24,1923,0,1
style,spatial_diversity,空间使用多样性,石宇奇,0.732829996078138,0.736633205206064,0.0490761805745027,0.0632528036494213,0.629439016460237,0.819895081058649,0.713603599647861,0.752000120056691,24,6459,0,1
style,spatial_diversity,空间使用多样性,对手,0.71393775498335,0.735944543603264,0.079428423455848,0.0617343555524801,0.435128200936179,0.811975836913491,0.679689478527258,0.742371607082543,24,6395,0,1
style,sequence_predictability,序列可预测性熵代理,石宇奇,0.247593882488838,0.24218603660267,0.0554324905327022,0.0896211940417948,0.180362529281187,0.368454539409752,0.226590943379485,0.269924209147158,24,6560,0,1
style,sequence_predictability,序列可预测性熵代理,对手,0.248959492949717,0.249931189335487,0.0484304559650641,0.0746979744349587,0.158253283618319,0.325097421311806,0.229116077200701,0.267327815489649,24,5847,1,1
process_proxy,early_active_share,前三拍主动类别比例,石宇奇,0.629354252192139,0.658333333333333,0.104850828537946,0.168346238765244,0.358974358974359,0.78125,0.587699295976763,0.669271118953261,24,1888,9,1
process_proxy,early_active_share,前三拍主动类别比例,对手,0.553619325888717,0.598015873015873,0.152479809223233,0.160210479175996,0.217948717948718,0.765957446808511,0.492417343871756,0.610203461981435,24,1616,5,1
process_proxy,attack_entry_proxy,进攻进入代理,石宇奇,0.386364054859297,0.376443001443001,0.0915760796469056,0.0989199803632793,0.193548387096774,0.547619047619048,0.35050016980751,0.422087293978875,24,1543,0,1
process_proxy,attack_entry_proxy,进攻进入代理,对手,0.378781060926233,0.372616323417239,0.0847864937475672,0.10168084640118,0.2,0.578125,0.346493274279664,0.412778797386441,24,1499,0,1
process_proxy,terminal_attack_event_share,终局后场进攻事件比例,石宇奇,0.106121992442837,0.117647058823529,0.0345746441531293,0.0446002805049088,0.032258064516129,0.159090909090909,0.0924522774599058,0.119383917400608,24,1704,0,1
process_proxy,terminal_attack_event_share,终局后场进攻事件比例,对手,0.113149729497556,0.109772423025435,0.0305382563388016,0.0413164575150877,0.0434782608695652,0.164383561643836,0.101137466706553,0.124854001914588,24,1704,0,1
process_proxy,net_continuation_proxy,网前连续使用代理,石宇奇,0.569808509746143,0.584683148621768,0.0990055835615403,0.134763570878402,0.36734693877551,0.753968253968254,0.530395223030137,0.607938778543274,24,3539,0,1
